Word|Translation|Example|Audio position|Dictionary position
tyve|twenty (20)
skidegod|brilliant, top-notch (unformal)
seriøs|serious
tud|conk, snout, nose, носище, морда
kane|sleigh
lad os|let us
tigge|to beg
opslag|notice, poster
stjæle|to steal
klejne|Danish deep-fried cookies
vold|violence
spænding|excitement, suspense, thrill
løsne|loosen
fisse|cunt, pussy|Få noget fisse, og slap lidt af.
hugge|hew, steal
efterforske|to investigate, to research into
et godt stykke tid|quite a while
stykke|piece, bit, chunk
at vidne|to testify, to give evidence|||2
kneppe|to fuck
godt gjort|well done, good job
betingelse|term, condition
jamen|well (konjunktion)
parere|to parry
parere ordre|to obey an order
et vidne|witness
en kjole|a dress
at passe|to fit|passer den
at sidde|to sit
omkring|around
smøge op|to roll up|kan du altid smøge ærmerne op
et ærme|sleeve
jo|you see, why|Det er jo Danmark.
fuldstændig|absolutely, completely
nødt|obliged, forced|Jeg bliver nødt til at løbe.
eddermame|damned|Filmen er eddermame god
tilhøre|to belong to
udløbe|to expire, to run out
lort|crap, poo, shit
opkalde|name somebody or something after somebody or something
opkald|call, phone call
grine|laugh, grin
skumring|dusk, twilight
færdig|done, ready, finished
hjemløs|homeless, hobo
en indsigt|insight, knowledge
et oplæg|presentation, introduction
blandt|among, from, between
som det jo er|As it is
et skøn|estimate, judgement, opinion
skøn|great, lovely, beautiful|||2
gide|would like to, to bother (usually negative context)|Det gider jeg ikke!
kønsrolle|gender role
tage højde for|take into account
en (en eller anden)|somebody, someone
fanden|the Devil, Satan
drikke sig ihjel|drink oneself to death
skid|bastard, turd, shit, fart
en retning|direction, trend
forskruet|twisted (view)
at ødelægge|to destroy, to wreck, to ruin
et fald|fall, drop, decline
at afbryde|to interrupt, to cut off
et statsborgerskab|citizenship
tilladt|allowed
langsom|slow
i gang| working, active
mærkeligt| strange, weird
ligesom|sort of, kind of
begravelse|funeral, burial
intet|none, no, nothing
samle|to meet, to unify, to gather
samlet|total, comprehensive, assembled
billede|picture, painting, portrait
dum|stupid, foolish
arv|inheritance, legacy
efterlade|to leave, to dump, to abandon
gæld|debt
mønt|coin
ladcykel|cargo bike
smutte|to slip (into), to pop (into)
tjekke|to check, to look into
bede|to ask to
mejeri|dairy
baggrundsbillede|background image, wallpaper
smadre|to wreck, to break, to smash
mindst|smallest, least
verden|world
at svinge|to turn, to vary
flov|embarrassed, ashamed
at redde|to rescue, to save
lufte hund|walk the dog
en ild|fire
bedre|better
en tændvæske|lighter fluid
at tænde|to ignite, to turn on
en købmand|merchant, shopkeeper
en kasserer|cashier
en nabo|neighbour
slem|bad, nasty, severe
værsågod / værsgo|here you are, help yourself|Værsågod, hr., en kop kaffe<br/>Nå, aftensmaden er klar, så værsågod
dygtig|good, clever, talented
en affære|affair|Hun havde en affære.
tage affære|to take action, step in, intervene
tilfreds|pleased, content, satisfied
en løsning|solution, resolution, answer
nem|easy, simple
sej|tough, viscous, ductile|||2
at gemme|to hide, to conceal|Han gemte sig i mørket||3
en skældud|scolding, telling-off, talking to
mon|I wonder if
at love|to promise
et bandeord|swear word
gå i gang|to start, to get to work
en skilling|mønt med ringe værdi; lille pengebeløb
at smide|to throw, to drop, to toss
en slags|kind, type, sort, brand
når som helst|whenever, any time
en smøg|cig, smoke
desværre|unfortunately, sadly
en digter|poet, writer
at digte|to write, to make up (stories), to compose|||2
kigge efter / lede efter|to look for
et vilkår|condition, terms
have råd til|to afford
indforstået med|agree with
bange|afraid, scared
bange for|scared of
bange for at|scared to (do)
at betale|to pay|Hun forventede at han betalte for middagen.
hvor meget skal jeg betale?|how much is it?
at forvente|to expect
forventet|expected
betale sig|be worth one's while|Det betalte sig ikke at besøge den udstilling.
at bekræfte|to confirm, to acknowledge
at tanke / at tanke op|to fill up, to refuel
tydeligvis|clearly, obviously
engang (om fortiden)|once, one day, some day
ikke engang|not even
hør engang|look here|Hør engang, det er jeg ikke enig i.
enig|in agreement
blive enige|to agree
en larm|noise, racket
at larme|to be noisy, to roar
en forbryder|criminal, felon
at forbryde|commit an offence against
et får|sheep
brokke sig|to complain, to nag
en indledning|beginning, opening
en hustru|wife
en fødselsdag|birthday
hvad med|what about
påkrævet|necessary, required
at påkræve|to require
at bortvise|to dismiss, to expel, to suspend|De bortviste mig, fordi jeg kom for sent igen.
at overvære|to be present at, to attend, to observe
et optrin|incident, scene
en bekymring|worry, concern
giftig|toxic, poisonous
at forurene|to pollute, to contaminate
at grave|to dig, to excavate
et stof|material, fabric, drugs
at iklæde|to dress in, to clothe in
en dragt|costume
en fare|danger, hazard
med fare for|at the risk of
ved siden af|next to
sikkert|probably, most likely|Han tager sikkert hjem på fredag.
skynde sig|to hurry, to rush
at bemærke|to notice, to observe
at bide|to bite
bide i det sure æble|bite the bullet
ufaglært|unskilled|Han var en ufaglært arbejder.
en abort|abortion
Færøerne|the Faroe Islands
Færing|Faroese
en kontrollør|checker, controller, supervisor
en pronomen|pronoun
at afvise|to reject, to turn down|Han afviste hendes forslag.
at servere|to serve, to wait a table
en forening|association, union
at hive i|to pull
en retssag|trial, court case, lawsuit
at bane vejen for|to clear the way for, to pave the way for
en overbevisning|conviction, belief
at haste|to hurry
det haster|it is urgent
Letland|Latvia
at afskrække|to frighten, to intimidate, to deter
at mangle|to lack, to need, to be short of
sjælden|seldom, rarely, infrequent
at generobre|to recapture, to retake, to reconquer
på grund af, pga.|because of
jeg kondolerer|My condolences, sorry for your loss
bevidstløs|unconscious
druk|drinking, drink, boozing
ellers andet|anything else?
ellers tak|no thank you
at afpresse|to blackmail, to force from, to extort
grim|ugly, unattractive, nasty
foran|ahead, in front, before
en luder|prostitute, whore, slut
vanvittig|insane, mad, crazy
at skride|to slip, to walk out, to pass
dog|though, however, yet
en forretning|business, deal
at tjene|to earn, to get paid, to make money
grådig|greedy, voracious
tage fat|take action, get going, get down to work
overhovedet|at all, by far, altogether
tung|heavy, bulky
forsigtig|careful, gentle
sikker|sure, certain, secure
være sikker på|be sure, be confident that
et kapel|chapel
underlig|strange, odd, weird
gå op i|devote oneself to, care about, be absorbed in
et håndled|wrist
en utroskab|adultery, infidelity, cheating
at slå|to hit, to strike, to knock
at overveje|to consider, to think over
en livsstil|lifestyle
en stank|reek, stink
at stinke|to reek, to stink
en sprut|booze, alcohol
derinde|in there
en ydelse|performance, output, yield
en fryser|freezer
et horehus|whorehouse, brothel
et forhold|relation, affair, conditions
dyr|expensive, pricey, costly
en slikkepind|lollipop
Paul er forsigtere end Peter.|Paul is more caring than Peter.
Paul er højere end Peter.|Paul is taller than Peter.
en æske|(small) box, packet, case, шкатулка
i stykker|broken, in pieces
en skrue|screw, bolt
Den man tugter, elsker man.|Caring for a person can be expressed in punishment or harsh treatment of that person.
Hvad du ikke ved af, har du ikke ondt af.|What you don't know doesn't hurt you. Can be white lies.
Øvelse gør mester.|Practice makes perfect.
Hvo intet vover intet vinder.|Who doesn't dare doesn't win.
Tyv tror hver mand stjæler.|Thief thinks every man steals.
Tale er sølv, tavshed er guld.|Слово — серебро, молчание — золото.
en glæde|pleasure, happiness, joy
at forklare|to explain, to clarify
at undersøge|to examine, to study, to research
tabe sig|to lose weight|Taber du dig når du spiser vegetarisk?
oppe i højre hjørne kan jeg se...|in the top right corner I can see...
nede i venstre hjørne kan jeg se...|in the bottom left corner I can see...
i midten af billedet kan jeg se...|in the middle of the picture I can see...
at ligne|to look like, to resemble|Det ligner du er ked af det.
Det ligner du er ked af det|It looks like you're upset.
et hold|team, group, class
at passe på|to take care, to protect, to watch out, to be careful
Bruger du mælk og sukker i din kaffe?|Do you add milk and sugar in your coffee?
at sidde i kassen|sit in the cashier booth
at ekspedere|to serve
en bamse|teddy bear, stuffed animal
en bjørn|bear
en skildpadde|tortise, turtle
Han endte med at købe alle landbrugsdyrene undtagen kyllingerne.|He ended up buying all the farm animals except the chickens.
at finde ud af|to find out, to understand
Jeg har ondt i mit ben.|I have a pain in my leg.
Jeg har en øm finger.|I have a sore finger.
Jeg har ømme skuldre.|I have sore shoulders.
Kan du gentale?|Can you repeat?
nedenunder|below, under
at mene|to mean, to believe (similar to synes, but with a claim to be truth)
genert|shy, timid
en tå|toe
pludselig|suddenly
vred|angry, mad
en modstand|opposition, resistance
en modsætning|opposite, antithesis
at skinne|to shine, to sparkle|||2
at foretrække|to prefer, to favour
en årstid|season, time of year
Om vinteren er det typisk...|In winter it is usually...
Det er det samme som…|It is the same as...
Hvem bor ovenpå dig?|Who lives above you?
en hylde|shelf
Jeg bor ved bageri.|I live near the bakery.
en væg|wall
en frugtskål|fruit bowl
en skål|bowl, dish
indenfor|inside, within
en øre|ear|øre pronounced as in "høre"
en numse|butt (children, doctor)
en røv|ass (in songs, among friends, informal)
en bagdel|butt (as in "beind", shy, formal)
et ben|leg
en fod|foot
historien handler om...|the story is about...
et skød|laps
en flodhest|hippopotamus
at sige at|to say that
afsted|away, off
en måge|gull, seagull
en trøje|jersey, sweater
dejlig|lovely, wonderful, delightful
et bjerg|mountain
yndlings-|favourite|Min yndlingsfarve er rød
som følge deraf|as a result, as a consequence
tryg|safe, comfortable, secure
en levestandard|standard of living
sundhedsvæsen|healthcare system
glat|smooth, flat, slippery
på den anden side|on the other hand
nogen / noget|some (not countable)
nogle|some (countable)
en ulempe|drawback, downside
en fordel|advantage, benefit
på alder med|of the same age as
at spare op|to save up (money)
en aktie|stock, share
en investering|investment
især|particularly, especially
uretfærdig|unfair
Jeg vakler lidt|I'm a bit uncertain, I hesitate
udenlands|abroad, overseas
Jeg kunne godt tænke mig|I would like|Jeg kunne godt tænke mig en sandwich med kylling og bacon.
Jeg vil gerne bede om|I would like (polite)|Jeg vil gerne bede om en sandwich med kylling og bacon.
-agtig|-ish
at se frem til|to look forward to
at opnå|to achieve, to obtain
nærmest|closest, nearest
at nå|to reach (få fat i), to reach (komme til), to have time to|Jeg har nået at vaske op.
at værdsætte|to appreciate, to value
at brænde for|to be passionate about
Vi havde skåle med ris til at dele|We had bowls with rice to share
Vi delte ris|We shared rice
at dele|to share, to split
at dele op|to divide
en tjener|waiter
at lade som om|to pretend|Vi lod som om vi forstod kinesisk.
at virke|to work, to function<br/>to seem, to appear
heller ikke|not ... either, when you want to add some negative point, “also I don’t”
hverken ... eller|neither ... nor
at blære sig|to brag, to show off
at udrette|to achieve, to accomplish
den eneste|the only one
en vennekreds|circle of friends
en forfremmelse|promotion
lykkelig|happy, joyful
engang imellem|once in a while, sometimes
i forhold til|compared to, in relation to, as for
at afhænge|to depend on
at adskille|to separate, to divide
at stille spørgsmål|to ask questions
en knaldperle|banger, gem
blive ved med at|keep on, keep going
i øvrigt|moreover
morsom|funny, humorous
at overraske|to surprise
at behandle|to treat
mulig|possible, potential
så rent som muligt|as clean as possible
at optræde|to perform, to act
kendt|famous
levende|living, alive
en livret|favourite food
et niveau|level, standard
at forkæle|to indulge, to spoil, to pamper
almindelig|common, ordinary, standard
en tegnefilm|cartoon, animated film
at planlægge|to plan, to schedule
en fag|subject, course
taknemmelig|grateful
en forbandelse|curse
forfærdelig|awful, terrible, horrible
en tegning|drawing, sketch
at skatte nogen højt|to treasure
flest gangen|most times
egen|own
omvendt|vice versa
fandme|dammit
en befolkningstilvækst|population growth
en klode|planet
rædselsslagen|horror-struck, terrified
påvirke|influence, affect
som udgangspunkt|as a rule, by default (more academic)
et forlag|publisher
at sy|to sew, to stitch
forkert|wrong, incorrect
en underholdning|entertainment
forleden dag|the other day
en beskæftigelse|occupation, job, employment
at skrige|to scream
en lastbil|truck
at læse højt|to read aloud
en gåafstand|walking distance
at fodre|to feed (animals)
en hjort|deer
et efterår|autumn, fall
at brøle|to roar, to bellow, moo
en tyr|bull
at kæle|to pet, to cuddle
en pung|purse, wallet
et tyggegummi|chewing gum
et skæg|beard
et overskæg|moustache
ligeglad|indifferent, don't care
uhøflig|rude, impolite
overordnet|overall, in general
en aflevering|delivery, assignment
at fortsætte|to continue, to carry on
et  geni|genius
en karakter|(school) grade, (human) character
kæmpe|huge, massive|||3
en lettelse|relief
at kaste|to throw, to toss|||2
heldige dig|lucky you
sådan en måde|certain way
spændende|exciting
spændt|excited, eager
et menneske|individual, human
et folk|people, nation, the public
Det får mig til at føle...|It makes me feel...
en forbindelse|connection, link
Det virker til at...|It seems to be that...
et samfund|society, community
dagens|today's, of the day
tilgængelig|available
enhver|anybody, anyone, everyone
Hvordan har du det?|How are you (feeling)?
interesseret|interested
en pude|pillow
et bryllup|wedding
en stue|living room, ground floor
et drivhus|greenhouse
omtrent|more or less, roughly, approximately
at falde i søvn|to fall asleep
skarp|sharp, bright
en pande|forehead, frying pan
en hals|neck, throat
bestemt|firmly, decidedly
aftenen før|the eve of ...|Det var aftenen før festen, og de glædede sig til den. (It was the eve of the party and they were looking forward to it.)
behagelig|pleasant, comfortable, agreeable|Rummet havde en behagelig temperatur
lænestol|armchair
en krydderurt|herbs
blid|soft, tender, gentle
en redning|rescue, salvation
lige siden|ever since
stort set|generally, basically
at forlade|to leave, to abandon, to quit
at trøste|to comfort
en sommerfugl|butterfly
at snorke|to snore
højlydt|aloud
at røre sig|to move
et selskab|company, firm, society
Når jeg hører ordet supermarked, tænker jeg på..|When I hear the word supermarket, I think of...
at forestille sig|to imagine, to picture|Jeg forestillede mig, at jeg var en hest.
Kan du forstille dig at bo i Tyskland?|Can you imagine living in Germany?
at knokle|to work hard, to slave
pokker|damn, hell
at klare|to manage, to cope
desuden|besides, furthermore
Jeg skal nok give en kop kaffe eller the.|I'll buy you a cup of coffee or tea.
en undervisning|teaching, instruction, lessons
nogensinde|ever, in history
Har du nogensinde været til lægen?|Have you ever been to the doctor?
sundheds tjek|health check
en smerte|pain, ache
det kommer an på|it depends on
held og lykke|good luck
en enebær|juniper
ene|alone|||2
et tal|number (mesurement)
at brække|to break, to fracture
at ramme|to hit, to strike|Bilen ramte træet||2
Hvor gammel var du da du brækkede armen?|How old were you when you broke your arm?
trods|despite, in spite of
tålmodig|patient, tolerant
en underviser|teacher, instructor
Ej jeg driller bare|I'm just kidding
en fjende|enemy, foe
selvsikkert|confident, self-confident
Han bevæger sig selvsikkert og målrettet mod fjenden.|He moves confidently and purposefully towards the enemy.
målrettet|determined, purposeful
at deltage|to participate, to take part
at fortjene|to deserve, to merit
at lyve|to lie
en løgn|lie
lave sjov|to joke, to jest
en vittighed|joke, jest, pun
fornærmet|offended, insulted
komme på andre tanker|to change one's mind
fik mig på andre tanker|made me change my mind
en fyr|guy, bloke, dude
et blik|look, glance
en fuldskab|drunkenness
med det samme|immediately, right away
vi andre var ...|the rest of us were ...
at dukke op|to show up
en stemning|atmosphere
ansvarlig|responsible
uansvarlig|irresponsible
en elev|pupil, student, learner
at advare|to warn
at afsløre|to reveal, to disclose
at angribe|to attack, to charge
at beskytte|to protect, to defend
at definere|to define
at drille|to tease
at dømme|to judge
X er sådan|X is like that
Lad os få afregnet nu|Let's settle now
så lad være|then don't
åndssvag|stupid, ridiculous
en bøde|fine, ticket
ædru|sober
kraftedeme|fucking|Jeg skriver kraftedeme til ham og fortæller, hvordan jeg har det
at krydse|to cross
en grænse|border, limit
sindssyg|mentally ill, crazy, insane
at melde|to announce, to declare, to report
at stikke af|to run away
et lig|body, corpse, cadaver
at lugte|to stink, to smell
stærk|strong
en oplevelse|experience, adventure
en udfordring|challenge, dare
flest|most, the majority of
at regne med|to take into account, to count on
udbredt|widespread
at tiltrække|to attract
en opmærksomhed|attention, awareness
en bajer|beer
omme|in the end, behind
at føde|to give birth
gravid|pregnant
at behøve|to require, to need
en sten|stone, rock
en gang imellem|once in a while, sometimes
besværlig|difficult, hard, troublesome
at skaffe|to obtain, to provide, to generate
hov|oops
at ane|to see, to suspect, to have a feeling|||2
at formode|to assume
min mening|my opinion
at blive uenig|to disagree
et hegn|fence
at trække vejret|to breath
kynisk|cynical, cynic
at håndtere|to handle, to manage, to tackle
en mark|(farmer) field
adskillige|several, quite a few
elendig|miserable, poor, lousy
et uheld|accident, bad luck
beruset|drunk, shitfaced
at fejre|to celebrate
en sandhed|truth
en ugle|owl
en sikkerhedsforanstaltning|safety measurs, техника безопасности
at påvirke|to affect, to impact, to influence
en pointe|point, point of view, punch line
som regel|usually, generally, normally
for få|too few
rig|rich
en aftale|agreement, arrangement, date
at mistænke|to suspect
enkelt|single, separate, simple
ganske enkelt|simply
ordentlig|proper, decent, correct, neat
mager|lean (meat), thin, skinny|||2
en hemmelighed|secret, mystery
deres største skræk|their greatest fear
uduelig|incompetent, useless
at gætte|to guess
en knægt|boy, lad, youngster
en ulykke|accident, crash, emergency
ulykkelig|miserable, unhappy
at tage beslutning|to make a decision
nu til dags|nowadays, today
en opfinder|inventor
en hævn|revenge, retaliation, vengeance
tynd|thin, slim, slender|Han er en tynd mand.
en kæde|chain
en tyndskid|diarrhea, thin shit
en vane|habit, custom
en fødevare|food
at fornemme|to sense, to feel
at orke|to have the strenght to
orker ikke|to not have the strenght to, cannot be bothered
moden|mature, ripe
umoden|immature, unripe
en udvikling|development, growth, evolution
at påstå|to claim, to assert
at skyde|to shoot, to fire
begge|both
et gevær|gun, rifle
en støvle|boot
at æde|to eat, to gobble down
at slæbe|to drag, to pull, to haul
modig|brave, courageous
at tisse|to pee
at hviske|to whisper
en besked|message, announcement
en mur|wall
et tag|roof
en dronning|queen
en konge|king
et bud|delivery man, carrier
at smelte|to melt
at pendle|to commute
en rækkefølge|order, sequence
overskyet|cloudy
en sladder|gossip, rumor
en bondegård|farm
imponerende|impressive
Vi kan ikke lave om på det.|We can't change it.
et forsvar|defense
fredelig|peaceful
fredfyldt|quiet, peaceful
en brønd|well, колодец
at glo|to stare
at forstyrre|to disturb, to interrupt
en tvivl|doubt
en mistillid|distrust, mistrust
tro på|belief in
at findes|to exist
ligegyldig|unimportant, trivial, indifferent
vant|accustomed, used to|||2
at ombestemme sig|to change one's mind
en undergang|downfall, destruction, end
en sminke|makeup, cosmetics (obsolete)
at støtte|to support|||2
et sår|wound
at bolle|to have sex, to fuck
en sprøjte|needle, syringe
et telt|tent
hellere|rather
at opløse|to dissolve, to break up, to disband
straks|immediately, at once, right away
en ære|honor, credit, glory
at fange|to catch, to trap, to capture
en betændelse|inflammation, infection
en opførsel|behavior, manners
en adfærd|behavior, demeanour
en mobning|bullying, harassment
en opdragelse|upbringing
at ansætte|employ, hire
et græskar|pumpkin
gå i seng|go to bed
en fagbog|subject-book, non-fiction book
en skønlitteratur|fiction (book)
ordblind|dyslexic
at snitte|to carve, to cut in pieces, to chop
i forgårs|the day before yesterday
forrige|previous, former, last
forrige uge|the week before last
et mesterskab|championship
klog|clever, smart, wise
en evne|ability, power, skill
et døgn|24 hours, calendar day, сутки
i hvilken alder|at what age
at dedikere|to dedicate
en dedikation|didication
pinlig|embarrassing
akavet|awkward
Hvis bare jeg vidste|If only I knew
hjerneskadet|brain-damaged
at stå på ski|to ski
deprimeret|depressed
at sige op|to quit
være nødt til|to have to
et transportmiddel|means of transportation
heldigvis|fortunately, luckily
en ankomst|arrival
at ankomme|to arrive
et rygte|rumor
Djævleøen|Devil's Island (slang for København)
uanset hvad|no matter what
en jyde|person from Jutland
en handling|action, act
at understrege|to underline, to emphasise
temmelig|rather, somewhat, fairly
særlig|specific, particular
særdeles|particularly, highly
utroligt|incredible, amazing
bl.a.|among other things
alligevel|still, nevertheless, anyway
et førstehåndsindtryk|first impression
en færdighed|skill, proficiency
at anbefale|to recommend, to advise
at stille|to put, to place, to position
ubelejlig|inconvenient
smart|stylish
at tilbyde|to offer, to provide
en snak|chat, conversation
et humør|mood
trist|sad, gloomy
at skuffe|to disappoint, to let down
en kujon|coward
en nissehue|Christmas hat
en kunstner|artist
at færdiggøre|to finish, to complete
at afslutte|to finish, to end
hjemmefra|from home
i det mindste|at least
et tilfælde|case, instance|i tilfælde af
en begivenhed|event, incident, occurrence
at komme i tanke om|to think of, to remember
et sting|a stitch (medical)
at lave sjov med|to make fun of
selv hvis|even if
en vært|a host
Vi fik gæster på besøg|We had guests over
en gryde|a pot
med vilje|on purpose
en hovedpine|a headache
en papfar|stepfather
en ondskab|evil
misundelig|envious
en bred|shore, bank
en ånd|spirit, ghost
svag|weak
at stirre|to stare
at komme til at gøre noget|to do something accidentally
at turde|to dare
en forlystelsespark|amusement park
en forlystelse|ride in amusement park
i træk|in a row, successive
zoologisk have|zoo
det er synd for nogen|I feel sorry for someone
en vaskebjørn|a raccoon
et pindsvin|a hedgehog
at spidse dine ører|to prepare to listen
majestætisk|majestic
oprevet|agitated, upset
at beskylde|to accuse, to blame
mæt|full (from food)
en nedtælling|countdown
en ballade|brawl, fuss, controversy
buttet|chubby
tyk|thick, fat
de levede lykkeligt til deres dages ende|they lived happily ever after
en gyser|horror
et bogstav|letter
en smagssag|matter of taste
en skumfidus|marshmallow
af en eller anden grund|for some reason
formentlig|assumed, presumably
en vejrudsigt|weather forecast
en stund|moment, memory, while
en gås|goose
en skorpe|crust
en garniture|garnish, гарнир
en middag|noon, midday<br/>dinner, supper
knap så meget|not so much
en brandmand|firefighter<br/>jellyfish
en bedsteforælder|grandparent
apropos|by the way
et klaver|piano
en rulleskøjte|roller skate
en dukke|doll
en julepynt|Christmas decorations
efter sigende|rumour says
at hælde|to pour
at finde på|to make up, to invent in mind, to think about
en bonde|farmer
at tro fuldt og fast på|to firmly believe in
at blive af med|to get rid of
indtil videre|so far
at afprøve|to test, to try out
at dreje til højre|to turn right
at fortsætte lige ud|continue straight ahead
på din højre side|on your right
en gågade|pedestrian street
nord for|north of
et nabolag|neighborhood
en bakke|hill
en forestilling|performance, show
at frede|to preserve, to protect
en leverpostej|liver paste (dish)
en bås|stall
en anmeldelse|review
en genstand|object, item
stadigvæk|still, yet
et rumskib|spaceship
rumvæsnen|alien
at føre an|lead the way
forvirret|confused
halvfjerdsere|seventies, 70s
nysgerrig|curious
en klage|complaint
et brokkehoved|person som ofte brokker sig over noget
tilfældigvis|by chance, by accident
at kende til|to know about
en hønsegård|курятник (коллектив женщин)
omklædnings snak|locker room talk (коллектив мужчин)
Jeg keder mig|I am bored
intet specielt|nothing special
en sorg|grief, sorrow, mourning
at døbe|to baptize, крестить
en forskel|difference, variation|Den største forskel
Vi får se|We will see
sårbar|vulnerable
tom|empty, blank
at bekende|to admit, to confess
en henstilling|recommendation, suggestion<br/>placing
at fylde|to fill<br/>to turn X years old
bagved|behind
en papegøje|parrot
at skyde papegøjen|strike it lucky|Han har virkelig skudt papegøjen denne gang.
en hæveautomat|ATM
en helt|hero, protagonist
at byde nogen velkommen|to welcome someone
en belønning|reward
værdifuld|valuable
en luftfugtighed|humidity
Hvad minder den dig om?|What does it remind you of?
snævre|narrow
Det jeg godt kan lide ved Polen, er...|What I like about Poland is...
et udseende|physical appearance, look
en løgner|liar
en hudfarve|skin color
venstreorienteret|left-wing
en kørestol|wheelchair
at gå lige til sagen|to get straight to the point
en lægeerklæring|doctor's note, sick note
at pensionere|to retire
at gå på pension|to retire
en myg|mosquito
at forklæde|to disguise
berømt|famous
en skuespiller|actor, actress, performer
at suse|to whizz, to speed, to rush
en edderkop|spider
et mylder|a crowd, a throng
et menagerie|a menagerie, зверинец
et væsen|a creature, a being
at more|to amuse, to enjoy
en bi|a bee
en bilist|a driver
at bistå|to assist, to help
et møg|trash, rubbish, muck, dung, навоз
en prut|a fart
halvanden|one and a half
underdanig|submissive
en forlovelse|engagement
at henvende sig til|to address someone directly
at anmode om|to request, to ask for
ved totiden|at two o'clock
at stifte bekendtskab med|to meet, to get to know
en højtid|a festival
en stilling|position
en ledighed|unemployment
et ledighedstal|unemployment rate
en årsag|cause, reason
at forpligte|to commit, to pledge
en efterspørgsel|demand
efterspurgt|in demand
vanskelig|difficult, hard, troublesome
uventet|unexpected
en meddelelse|message, notification
at sluge|to swallow
at tilråde|to advise, to recommend
en rod|root, origin
en mangel|lack, shortage
overdreven|excessive
en ros|praise
at undlade|to omit, to leave out
en skik|custom, tradition
at kratte|to scratch
en rude|window
at mærke|to feel, to sense
urokkelig|immovable
at svigte|to fail to function, to break down
at tøve|to hesitate, to pause
at sutte|to suck|at sutte på en flaske
tværtimod|on the contrary, quite the opposite
at træde|to step, to tread
et skridt|step, pace
at hele|to heal
erfaren|experienced
at ånde|to breathe
langs|along
at indfinde sig|to appear, to show up, to happen
til gengæld|in return<br/>on the other hand
et offer|victim, casualty
spinkel|thin, skinny
i ugevis|for weeks
en afskygning|shade, nuance, aspect
en fordeling|distribution, allocation
i gennemsnit|on average
at have svært ved at gøre noget|have difficulty in doing something|She has difficulty in doing it (Hun har svært ved at gøre det)
krævende|demanding
at bytte|to change, to exchange, to swap
mht at (med hensyn til at)|with regard to X, concerning X
Du spørger også, hvad ...|You also ask what ...
Du bad mig om ...|You asked me ...
Når det kommer til at ...|When it comes to X
et knus|a hug
at kramme|to hug
Jeg har begrænset erfaring med ...|I have limited experience with ...
Det er jeg delvis enig i|I partly agree with that
Det er jeg ikke enig i, eftersom ...|I disagree with that, because ...
Det er jeg helt enig i|I completely agree with that
Efter min mening|In my opinion
Den vigtigeste er, at ...|The most important is that ...
En anden fordel kan være, at ...|Another advantage can be that ...
på egen hånd|on one's own
Hvad siger du til ...|What do you think about ..., How about ...
fortrolig|confidential
et brev|letter
et vrøvl|nonsense, rubbish
et blad|leaf<br/>magazine, newspaper
at tage overhånd|to get out of control
et forsæde|front seat (in a car)
at have travlt|to be busy
at tilegne sig|to acquire, to learn
en urtepotte|flower pot
at fungere|to function, to work
et næringsstof|nutrient
at ofre|to sacrifice
på kort sigt|in the short term
på lang sigt|in the long term
ligeværdig|equal
en pligt|duty, obligation
at begrunde|to reason, to justify, to explain
en udestue|sunroom
en idræt|sport, physical education, athletics
at slå græs|to mow the lawn
en græsslåmaskine|lawnmower
obligatorisk|obligatory, compulsory, mandatory
en svaghed|weakness
et tegnsprog|sign language
et tegn på|a sign of
et måltid|meal
at fare vild|to get lost
et fjols|fool, idiot, jerk
at bestemme|to decide, to determine
at bestå|to pass, to succeed
direkte|direct, immediate
en skive|disc, dial
en regning|bill, check
en ilt|oxygen
en oplysning|information
at udtrykke|to express, to state, to voice
at genere|to bother, to annoy
at være i færd med noget|to be in the process of doing something
alsidig|versatile, all-round
at voldtage|to rape
et firben|lizard
en pels|fur
at erstatte|to replace
en hukommelse|memory
væsentlig|essential, significant
at overhold|to abide by, to comply with
ansat|employed (GRAMMATIK almindelig som substantiv)
at udføre|to conduct, to run, to carry out
at lide|to suffer
nemlig|exactly!, that is right!, namely
selvstændig|independent, self-employed
ligefrem|straightforward, frank
x er lig med 5|x equals 5
2 gange 2 er lig med 4|2 times 2 equals 4
10 divideret med 2 er lig med 5|10 divided by 2 equals 5
et lige tal|an even number
et ulige tal|an odd number
en helligdag|a holiday
én tredjedel|one third
to tredjedele|two thirds
at løbe tør for|to run out of
massevis af|lots of, loads of
